osm_type,osm_id,place_id,name,amenity,lat,lon,distance_m,tags
node,4717389945,osm:node:4717389945,Bollywood Dreams,restaurant,51.4600992,-0.135122,146.69,"{'addr:housenumber': '72', 'addr:street': 'Clapham Park Road', 'amenity': 'restaurant', 'cuisine': 'indian', 'name': 'Bollywood Dreams', 'takeaway': 'yes'}"
node,4717389952,osm:node:4717389952,Yun Hua,restaurant,51.4598444,-0.1346648,169.36,"{'amenity': 'restaurant', 'cuisine': 'chinese', 'name': 'Yun Hua'}"
node,12093570071,osm:node:12093570071,Dumplings And Baos,restaurant,51.4611093,-0.1361545,180.64,"{'addr:housenumber': '31', 'addr:street': 'Clapham Park Road', 'amenity': 'restaurant', 'check_date': '2024-08-07', 'cuisine': 'asian', 'name': 'Dumplings And Baos', 'opening_hours': 'Mo-Tu off; We 17:00-21:15; Th 12:00-21:15; Fr-Sa 12:00-21:45; Su 12:00-20:45', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'phone': '+44 20 3759 0162', 'website': 'https://none'}"
node,5062549528,osm:node:5062549528,Sushi O'Clock,restaurant,51.4608319,-0.1390177,192.9,"{'amenity': 'restaurant', 'cuisine': 'sushi', 'name': ""Sushi O'Clock""}"
node,1314268612,osm:node:1314268612,Metro,restaurant,51.4615374,-0.1379367,224.7,"{'addr:city': 'London', 'addr:housenumber': '9', 'addr:postcode': 'SW4 7AA', 'addr:street': 'Clapham Common South Side', 'amenity': 'restaurant', 'fhrs:authority': 'Lambeth', 'fhrs:id': '483917', 'fhrs:inspectiondate': '2014-04-22', 'fhrs:rating': '3', 'name': 'Metro', 'wheelchair': 'no'}"
node,4526375937,osm:node:4526375937,Carmen Bar de Tapas,restaurant,51.4616598,-0.1378162,235.89,"{'amenity': 'restaurant', 'check_date': '2024-08-16', 'name': 'Carmen Bar de Tapas', 'wheelchair': 'limited'}"
node,12084540240,osm:node:12084540240,Osteria Mbare,restaurant,51.4620458,-0.1370913,273.15,"{'addr:housenumber': '167', 'addr:street': 'Clapham High Street', 'amenity': 'restaurant', 'check_date': '2024-08-07', 'cuisine': 'italian', 'indoor_seating': 'yes', 'name': 'Osteria Mbare', 'opening_hours': 'Mo off; Tu-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-22:00', 'outdoor_seating': 'yes', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'phone': '+44 20 7183 3024', 'website': 'https://osteriambare.co.uk'}"
node,12095045840,osm:node:12095045840,Tonkotsu,restaurant,51.4621873,-0.136563,291.05,"{'addr:housenumber': '153', 'addr:street': 'Clapham High Street', 'amenity': 'restaurant', 'brand': 'Tonkotsu', 'brand:wikidata': 'Q109859392', 'check_date': '2024-08-07', 'cuisine': 'ramen', 'diet:vegetarian': 'yes', 'indoor_seating': 'yes', 'name': 'Tonkotsu', 'opening_hours': 'Mo-Th,Su 12:00-22:00; Fr-Sa 12:00-22:30', 'outdoor_seating': 'yes', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'phone': '+44 20 3475 2692', 'website': 'https://tonkotsu.co.uk/'}"
way,976950306,osm:way:976950306,Honest Burgers,restaurant,51.4624761,-0.1377093,324.0,"{'addr:city': 'London', 'addr:housenumber': '75', 'addr:postcode': 'SW4 0BD', 'addr:street': 'Venn Street', 'amenity': 'restaurant', 'brand': 'Honest Burgers', 'brand:wikidata': 'Q110061173', 'building': 'yes', 'cuisine': 'burger', 'diet:gluten_free': 'yes', 'diet:vegan': 'yes', 'diet:vegetarian': 'yes', 'indoor_seating': 'yes', 'name': 'Honest Burgers', 'opening_hours': 'Mo-Th 11:30-22:00, Fr-Sa 11:30-23:00, Su 11:30-22:00', 'outdoor_seating': 'yes', 'payment:american_express': 'yes', 'phone': '+44 20 4542 4830', 'ref:GB:uprn': '100023361902;100023361903;100023677025;200000485586', 'toilets': 'yes', 'toilets:wheelchair': 'no', 'website': 'https://www.honestburgers.co.uk/locations/clapham/'}"
way,605016296,osm:way:605016296,Flat Iron Clapham,restaurant,51.4620296,-0.1397015,326.72,"{'addr:city': 'London', 'addr:housenumber': '19', 'addr:postcode': 'SW4 0HY', 'addr:street': 'The Pavement', 'amenity': 'restaurant', 'brand': 'Flat Iron', 'brand:wikidata': 'Q110680166', 'building': 'yes', 'cuisine': 'steak_house', 'name': 'Flat Iron Clapham', 'website': 'https://flatironsteak.co.uk/restaurant/clapham/'}"
